trial_num,trial_length,click_num,RT,action,reward,highest_reward,average_reward,stochasticity,average_reward_exploration,stochasticity_exploration,last_trial_average_reward,impulse,gap,abs_gap
1,8,1,5357,1,-3.0,-3.0,-3.0,0.0,-3.0,0.0,0.0,0,,
1,8,2,6158,1,-2.6,-2.6,-2.8,0.19999999999999996,-2.8,0.19999999999999996,0.0,1,0.4,0.4
1,8,3,4272,1,-2.6,-2.6,-2.733333333333333,0.18856180831641264,-2.733333333333333,0.18856180831641264,0.0,0,0.0,0.0
1,8,4,4488,1,-3.4,-2.6,-2.9,0.3316624790355399,-2.9,0.3316624790355399,0.0,0,-0.8,0.8
1,8,5,3367,1,-3.4,-2.6,-3.0,0.3577708763999663,-3.0,0.3577708763999663,0.0,0,-0.8,0.8
1,8,6,2537,0,-2.6,-2.6,-2.9333333333333336,0.3590109871423002,-3.0,0.3577708763999663,0.0,1,0.0,0.0
1,8,7,3599,1,-3.0,-2.6,-2.942857142857143,0.3331972511340171,-3.0,0.33806170189140655,0.0,0,-0.4,0.4
1,8,8,2297,0,-2.6,-2.6,-2.9000000000000004,0.3316624790355399,-3.0,0.33806170189140655,0.0,0,0.0,0.0
2,8,1,1981,1,-3.4,-3.4,-3.4,0.0,-3.4,0.0,-3.0,0,,
2,8,2,2689,1,-3.4,-3.4,-3.4,0.5366563145999494,-3.4,0.5366563145999494,-3.0,1,0.0,0.0
2,8,3,2159,1,-2.5,-2.5,-3.1,0.3977207791677701,-3.1,0.3977207791677701,-3.0,1,0.9,0.9
2,8,4,2400,0,-2.5,-2.5,-2.95,0.37749172176353746,-3.1,0.3977207791677701,-3.0,1,0.0,0.0
2,8,5,1824,1,-4.3,-2.5,-3.22,0.5524212439517788,-3.34,0.60566555889432,-3.0,0,-1.8,1.8
2,8,6,1591,0,-2.5,-2.5,-3.1,0.5277986629117476,-3.34,0.60566555889432,-3.0,1,0.0,0.0
2,8,7,1697,1,-2.7,-2.5,-3.042857142857143,0.5086195803850068,-3.248571428571428,0.5765060135622776,-3.0,1,-0.2,0.2
2,8,8,1992,0,-2.5,-2.5,-2.975,0.5012484413940854,-3.248571428571428,0.5765060135622776,-3.0,1,0.0,0.0
3,9,1,2687,1,-3.5,-3.5,-3.5,0.0,-3.5,0.0,-3.248571428571428,0,,
3,9,2,3248,1,-2.3,-2.3,-2.9,0.5131601439446885,-2.9,0.5131601439446885,-3.248571428571428,1,1.2,1.2
3,9,3,2641,1,-2.8,-2.3,-2.8666666666666667,0.5028573327257179,-2.8666666666666667,0.5028573327257179,-3.248571428571428,0,-0.5,0.5
3,9,4,2016,1,-2.8,-2.3,-2.8499999999999996,0.49244289008980524,-2.8499999999999996,0.49244289008980524,-3.248571428571428,0,-0.5,0.5
3,9,5,2296,0,-2.3,-2.3,-2.7399999999999998,0.516102610690844,-2.8499999999999996,0.49244289008980524,-3.248571428571428,0,0.0,0.0
3,9,6,1520,0,-2.3,-2.3,-2.6666666666666665,0.5353182759496041,-2.8499999999999996,0.49244289008980524,-3.248571428571428,0,0.0,0.0
3,9,7,1288,1,-2.6,-2.3,-2.6571428571428575,0.5271846841625963,-2.814285714285714,0.4912454519433368,-3.248571428571428,0,-0.3,0.3
3,9,8,1815,0,-2.3,-2.3,-2.6125000000000003,0.5375968904919992,-2.814285714285714,0.4912454519433368,-3.248571428571428,0,0.0,0.0
3,9,9,2257,0,-2.3,-2.3,-2.577777777777778,0.5441858796449409,-2.814285714285714,0.4912454519433368,-3.248571428571428,0,0.0,0.0
4,8,1,2544,1,-2.7,-2.7,-2.7,0.0,-2.7,0.0,-2.814285714285714,0,,
4,8,2,2380,1,-3.0,-2.7,-2.85,0.4779392492000692,-2.85,0.4779392492000692,-2.814285714285714,0,-0.3,0.3
4,8,3,1843,1,-2.7,-2.7,-2.8000000000000003,0.46827952580239324,-2.8000000000000003,0.46827952580239324,-2.814285714285714,0,0.0,0.0
4,8,4,1814,1,-2.0,-2.0,-2.6,0.5152836513798107,-2.6,0.5152836513798107,-2.814285714285714,0,0.7,0.7
4,8,5,2144,1,-3.4,-2.0,-2.7600000000000002,0.48948953002081663,-2.7600000000000002,0.48948953002081663,-2.814285714285714,0,-1.4,1.4
4,8,6,2127,0,-2.0,-2.0,-2.6333333333333333,0.5197531810154,-2.7600000000000002,0.48948953002081663,-2.814285714285714,0,0.0,0.0
4,8,7,1440,0,-2.0,-2.0,-2.542857142857143,0.5509384387255132,-2.7600000000000002,0.48948953002081663,-2.814285714285714,0,0.0,0.0
4,8,8,1403,0,-2.0,-2.0,-2.475,0.5769728999465462,-2.7600000000000002,0.48948953002081663,-2.814285714285714,0,0.0,0.0
5,7,1,2333,1,-2.5,-2.5,-2.5,0.0,-2.5,0.0,-2.7600000000000002,0,,
5,7,2,1944,1,-3.0,-2.5,-2.75,0.5078666866694167,-2.75,0.5078666866694167,-2.7600000000000002,0,-0.5,0.5
5,7,3,1555,1,-2.8,-2.5,-2.766666666666667,0.5017561751082484,-2.766666666666667,0.5017561751082484,-2.7600000000000002,0,-0.3,0.3
5,7,4,1588,1,-2.9,-2.5,-2.8000000000000003,0.49864681754589457,-2.8000000000000003,0.49864681754589457,-2.7600000000000002,0,-0.4,0.4
5,7,5,2025,1,-2.5,-2.5,-2.74,0.4894357653676861,-2.74,0.4894357653676861,-2.7600000000000002,0,0.0,0.0
5,7,6,1672,1,-3.5,-2.5,-2.866666666666667,0.5119094471205645,-2.866666666666667,0.5119094471205645,-2.7600000000000002,0,-1.0,1.0
5,7,7,2233,0,-2.5,-2.5,-2.8142857142857145,0.4985949646511788,-2.866666666666667,0.5119094471205645,-2.7600000000000002,0,0.0,0.0
6,8,1,1735,1,-3.9,-3.9,-3.9,0.0,-3.9,0.0,-2.866666666666667,0,,
6,8,2,2601,1,-2.9,-2.9,-3.4,0.8096148408201213,-3.4,0.8096148408201213,-2.866666666666667,1,1.0,1.0
6,8,3,1776,1,-3.2,-2.9,-3.3333333333333335,0.7506242019189496,-3.3333333333333335,0.7506242019189496,-2.866666666666667,1,-0.3,0.3
6,8,4,2186,1,-2.4,-2.4,-3.1,0.6035877581745523,-3.1,0.6035877581745523,-2.866666666666667,1,0.5,0.5
6,8,5,2564,1,-2.5,-2.4,-2.98,0.5469511454924978,-2.98,0.5469511454924978,-2.866666666666667,1,-0.1,0.1
6,8,6,1570,1,-3.7,-2.4,-3.1,0.6034322122513918,-3.1,0.6034322122513918,-2.866666666666667,0,-1.3,1.3
6,8,7,1303,0,-2.4,-2.4,-3.0,0.5594450137451001,-3.1,0.6034322122513918,-2.866666666666667,1,0.0,0.0
6,8,8,2098,0,-2.4,-2.4,-2.925,0.5343414950509957,-3.1,0.6034322122513918,-2.866666666666667,1,0.0,0.0
7,5,1,2915,1,-3.4,-3.4,-3.4,0.0,-3.4,0.0,-3.1,0,,
7,5,2,2682,1,-3.6,-3.4,-3.5,0.8716650732936361,-3.5,0.8716650732936361,-3.1,1,-0.2,0.2
7,5,3,1685,1,-3.2,-3.2,-3.4,0.7865287349998041,-3.4,0.7865287349998041,-3.1,1,0.2,0.2
7,5,4,1794,1,-3.1,-3.1,-3.3249999999999997,0.7255303100279343,-3.3249999999999997,0.7255303100279343,-3.1,1,0.1,0.1
7,5,5,3146,1,-3.5,-3.1,-3.3599999999999994,0.7436625325133372,-3.3599999999999994,0.7436625325133372,-3.1,1,-0.4,0.4
8,7,1,1870,1,-3.0,-3.0,-3.0,0.0,-3.0,0.0,-3.3599999999999994,0,,
8,7,2,8206,1,-2.3,-2.3,-2.65,0.5436827283360297,-2.65,0.5436827283360297,-3.3599999999999994,1,0.7,0.7
8,7,3,1872,0,-2.3,-2.3,-2.533333333333333,0.5865388118255925,-2.65,0.5436827283360297,-3.3599999999999994,0,0.0,0.0
8,7,4,1432,0,-2.3,-2.3,-2.4749999999999996,0.6114496005682627,-2.65,0.5436827283360297,-3.3599999999999994,0,0.0,0.0
8,7,5,1104,1,-3.5,-2.3,-2.6799999999999997,0.536611334336064,-2.82,0.5192368405185867,-3.3599999999999994,0,-1.2,1.2
