trial_num,action,totaldays,daysleft,muvalue,reward,gap,RT
1.0,1.0,9.0,9.0,3.3,3.3,,15333.0
1.0,1.0,9.0,8.0,3.8,3.8,0.5,7664.0
1.0,0.0,9.0,7.0,3.8,3.8,0.0,10273.0
1.0,0.0,9.0,6.0,3.8,3.8,0.0,4671.0
1.0,1.0,9.0,5.0,3.8,3.2,-0.6,2737.0
1.0,0.0,9.0,4.0,3.8,3.8,0.0,1789.0
1.0,0.0,9.0,3.0,3.8,3.8,0.0,5122.0
1.0,0.0,9.0,2.0,3.8,3.8,0.0,2001.0
1.0,0.0,9.0,1.0,3.8,3.8,0.0,4087.0
2.0,1.0,10.0,10.0,3.3,3.3,,15333.0
2.0,1.0,10.0,9.0,4.2,4.2,0.9,7664.0
2.0,0.0,10.0,8.0,4.2,4.2,0.0,10273.0
2.0,0.0,10.0,7.0,4.2,4.2,0.0,4671.0
2.0,0.0,10.0,6.0,4.2,4.2,0.0,2737.0
2.0,0.0,10.0,5.0,4.2,4.2,0.0,1789.0
2.0,0.0,10.0,4.0,4.2,4.2,0.0,5122.0
2.0,0.0,10.0,3.0,4.2,4.2,0.0,2001.0
2.0,0.0,10.0,2.0,4.2,4.2,0.0,4087.0
2.0,0.0,10.0,1.0,4.2,4.2,0.0,4232.0
3.0,1.0,6.0,6.0,2.7,2.7,,15333.0
3.0,1.0,6.0,5.0,3.5,3.5,0.8,7664.0
3.0,0.0,6.0,4.0,3.5,3.5,0.0,10273.0
3.0,0.0,6.0,3.0,3.5,3.5,0.0,4671.0
3.0,0.0,6.0,2.0,3.5,3.5,0.0,2737.0
3.0,0.0,6.0,1.0,3.5,3.5,0.0,1789.0
4.0,1.0,8.0,8.0,2.8,2.8,,15333.0
4.0,1.0,8.0,7.0,4.2,4.2,1.4,7664.0
4.0,0.0,8.0,6.0,4.2,4.2,0.0,10273.0
4.0,0.0,8.0,5.0,4.2,4.2,0.0,4671.0
4.0,0.0,8.0,4.0,4.2,4.2,0.0,2737.0
4.0,0.0,8.0,3.0,4.2,4.2,0.0,1789.0
4.0,0.0,8.0,2.0,4.2,4.2,0.0,5122.0
4.0,0.0,8.0,1.0,4.2,4.2,0.0,2001.0
5.0,1.0,9.0,9.0,2.7,2.7,,15333.0
5.0,1.0,9.0,8.0,3.2,3.2,0.5,7664.0
5.0,1.0,9.0,7.0,3.2,2.7,-0.5,10273.0
5.0,0.0,9.0,6.0,3.2,3.2,0.0,4671.0
5.0,0.0,9.0,5.0,3.2,3.2,0.0,2737.0
5.0,0.0,9.0,4.0,3.2,3.2,0.0,1789.0
5.0,0.0,9.0,3.0,3.2,3.2,0.0,5122.0
5.0,0.0,9.0,2.0,3.2,3.2,0.0,2001.0
5.0,0.0,9.0,1.0,3.2,3.2,0.0,4087.0
6.0,1.0,10.0,10.0,2.3,2.3,,15333.0
6.0,1.0,10.0,9.0,2.9,2.9,0.6,7664.0
6.0,1.0,10.0,8.0,2.9,2.8,-0.1,10273.0
6.0,1.0,10.0,7.0,3.1,3.1,0.2,4671.0
6.0,0.0,10.0,6.0,3.1,3.1,0.0,2737.0
6.0,0.0,10.0,5.0,3.1,3.1,0.0,1789.0
6.0,0.0,10.0,4.0,3.1,3.1,0.0,5122.0
6.0,0.0,10.0,3.0,3.1,3.1,0.0,2001.0
6.0,0.0,10.0,2.0,3.1,3.1,0.0,4087.0
6.0,0.0,10.0,1.0,3.1,3.1,0.0,4232.0
7.0,1.0,6.0,6.0,2.0,2.0,,15333.0
7.0,1.0,6.0,5.0,2.5,2.5,0.5,7664.0
7.0,0.0,6.0,4.0,2.5,2.5,0.0,10273.0
7.0,0.0,6.0,3.0,2.5,2.5,0.0,4671.0
7.0,0.0,6.0,2.0,2.5,2.5,0.0,2737.0
7.0,0.0,6.0,1.0,2.5,2.5,0.0,1789.0
8.0,1.0,8.0,8.0,2.7,2.7,,15333.0
8.0,1.0,8.0,7.0,2.7,2.5,-0.2,7664.0
8.0,0.0,8.0,6.0,2.7,2.7,0.0,10273.0
8.0,0.0,8.0,5.0,2.7,2.7,0.0,4671.0
